frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
225,7.5075,840,520,0.184835,840,504,0.18445,832,512,0.161295,792,368,0.163661,712,504,0.23427,752,480,0.133664,784,368,0.109896,0,0,0,800,480,0.105529,752,488,0.133218,808,776,0.119843,864,888,0.130387,0,0,0,0,0,0,0,0,0
230,7.67433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,7.84117,960,392,0.105225,0,0,0,952,400,0.101667,0,0,0,784,392,0.111255,0,0,0,0,0,0,976,392,0.114579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8.008,880,248,0.252014,888,240,0.24962,880,240,0.27463,824,312,0.296787,776,336,0.186935,792,336,0.11492,904,304,0.263832,952,368,0.114391,0,0,0,808,432,0.280657,0,0,0,0,0,0,920,416,0.136151,0,0,0,0,0,0
245,8.17483,808,232,0.188529,816,232,0.184431,808,224,0.212344,832,280,0.148109,784,240,0.26701,816,216,0.115477,848,280,0.177074,0,0,0,832,264,0.105112,800,384,0.189574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,8.34167,880,264,0.748212,888,256,0.725563,880,256,0.769085,864,304,0.719664,808,296,0.462027,760,264,0.313379,936,312,0.617021,960,368,0.299682,896,320,0.156473,848,424,0.602239,928,560,0.201575,1048,816,0.17037,912,432,0.444478,952,536,0.11426,1048,816,0.154073
255,8.5085,872,368,0.125733,864,408,0.132166,872,368,0.11601,856,408,0.140287,832,336,0.191941,832,344,0.159822,952,376,0.101608,992,408,0.165441,0,0,0,832,536,0.149149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,8.67533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,8.84217,904,192,0.37048,920,184,0.423951,904,184,0.32977,808,344,0.228383,880,344,0.310569,960,280,0.359039,864,312,0.169688,904,296,0.1658,0,0,0,800,352,0.122589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,9.009,792,280,0.254971,912,160,0.222363,784,280,0.254057,824,256,0.195823,800,328,0.502278,888,320,0.17724,824,288,0.101437,0,0,0,728,344,0.10235,840,384,0.122436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,9.17583,800,296,0.370505,808,288,0.334434,784,280,0.40355,800,336,0.334714,728,312,0.361637,792,352,0.268508,872,328,0.226221,768,288,0.160627,752,320,0.200035,864,448,0.178774,0,0,0,1080,632,0.119073,904,440,0.150083,0,0,0,1064,656,0.140596
280,9.34267,0,0,0,0,0,0,0,0,0,808,360,0.111235,760,296,0.152449,0,0,0,0,0,0,752,296,0.106698,0,0,0,784,440,0.107568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,9.5095,784,264,0.381369,792,256,0.291632,768,248,0.39276,776,312,0.302891,880,272,0.300503,792,328,0.295215,808,296,0.271787,896,248,0.338209,792,264,0.148152,776,424,0.259908,0,0,0,0,0,0,816,416,0.140189,0,0,0,0,0,0
290,9.67633,968,136,0.768311,960,128,0.799416,952,128,0.80692,848,224,0.5458,848,312,0.822978,984,248,0.57336,976,208,0.540265,960,264,0.188264,1032,224,0.333798,920,384,0.37297,968,472,0.113758,0,0,0,992,376,0.389026,0,0,0,0,0,0
295,9.84317,968,120,0.222578,960,120,0.169314,952,112,0.22764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10.01,0,0,0,824,408,0.102528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,10.1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10.3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,232,0.153746,0,0,0,0,0,0,0,0,0,0,0,0
315,10.5105,880,248,0.199721,880,240,0.176979,872,240,0.22132,848,256,0.248037,0,0,0,0,0,0,856,280,0.108696,0,0,0,0,0,0,776,464,0.164304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,10.6773,0,0,0,736,440,0.101265,0,0,0,736,440,0.118184,688,472,0.101237,0,0,0,0,0,0,0,0,0,0,0,0,736,560,0.107874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,10.8442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,11.011,984,176,0.39611,984,160,0.438458,968,160,0.42837,872,216,0.454458,816,280,0.600801,904,312,0.422118,960,224,0.277651,960,216,0.115449,0,0,0,872,376,0.416693,0,0,0,0,0,0,936,392,0.273817,0,0,0,0,0,0
335,11.1778,936,200,0.366687,952,192,0.369672,920,192,0.426418,856,272,0.548151,936,272,0.692601,1024,208,0.495486,952,304,0.309676,904,216,0.127625,880,248,0.132648,872,440,0.404142,0,0,0,0,0,0,936,448,0.216607,0,0,0,0,0,0
340,11.3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,11.5115,920,168,0.512359,920,160,0.525998,912,152,0.603958,840,232,0.793359,912,312,0.594085,1040,256,0.243222,896,264,0.329916,944,216,0.258941,872,184,0.313541,848,392,0.334411,1016,512,0.1129,0,0,0,912,416,0.210762,0,0,0,0,0,0
350,11.6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,480,0.123415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
